"","Lab_ID","ID","time","Amt.N","Amt.C","sample.mass","d15N","d13C","per.N","per.C"
"218","SHC-BBH-06","bbh_18",3,0.079150778,0.225365017,0.447,10.52836364,-24.34692052,0.177071093,0.504172297
"219","SHC-BBH-06","bbh_18",6,NA,NA,0.455,10.78,-24.63,13.41,42.91
"220","SHC-BBH-06","bbh_18",9,NA,NA,0.441,11.1,-24.85,14.79,50.7
"221","PNE-BGL-01","bgl_01",0,0.0608404681627683,0.199628152384637,0.449,10.638875,-21.7534776836769,0.135502156264517,0.444606130032598
"222","PNE-BGL-01","bgl_01",3,0.073293138,0.197670767,0.45,10.87136364,-21.10245522,0.16287364,0.439268371
"223","PNE-BGL-01","bgl_01",6,NA,NA,0.461,11.06,-21.33,11.8,35.43
"224","PNE-BGL-01","bgl_01",9,NA,NA,0.45,11.01,-21.23,15.2,46.21
"225","PNE-BGL-02","bgl_02",0,0.0643502828203044,0.212100107025317,0.467,10.8580714811058,-24.8961078604673,0.13779503815911,0.454175818041363
"226","PNE-BGL-02","bgl_02",3,0.079573746,0.213210372,0.47,10.97036364,-23.74091749,0.169305843,0.453639089
"227","PNE-BGL-02","bgl_02",6,NA,NA,0.455,11.04,-24.32,12.48,37.89
"228","PNE-BGL-02","bgl_02",9,NA,NA,0.464,11.37,-24.21,15.31,46.36
"229","PNE-BGL-03","bgl_03",0,0.06227642928877,0.210488645657146,0.455,10.693950126807,-21.9186121439,0.136871273162132,0.462612408037684
"230","PNE-BGL-03","bgl_03",3,0.073667302,0.201175173,0.43,10.71236364,-20.98671397,0.171319307,0.46784924
"231","PNE-BGL-03","bgl_03",6,NA,NA,0.433,10.86,-21.35,14.48,44.06
"232","PNE-BGL-03","bgl_03",9,NA,NA,0.462,10.94,-21.21,15.64,47.44
"233","PNE-BGL-04","bgl_04",0,0.0652849618992214,0.210480462126889,0.46,11.362375,-22.0118482816767,0.141923830215699,0.457566222014975
"234","PNE-BGL-04","bgl_04",3,0.075618299,0.205278739,0.462,11.52636364,-21.33094768,0.163675973,0.444326274
"235","PNE-BGL-04","bgl_04",6,NA,NA,0.443,11.99,-21.81,14.86,45.11
"236","PNE-BGL-04","bgl_04",9,NA,NA,0.464,11.9,-21.57,15.68,47.27
"237","PNE-BGL-05","bgl_05",0,0.0604379579691417,0.209662969748299,0.447,11.09725,-22.0523363349897,0.135207959662509,0.469044675052122
"238","PNE-BGL-05","bgl_05",3,0.074911804,0.198566616,0.459,10.97436364,-21.26841077,0.163206544,0.432607006
"239","PNE-BGL-05","bgl_05",6,NA,NA,0.456,11.19,-21.66,15.26,46.77
"240","PNE-BGL-05","bgl_05",9,NA,NA,0.442,11.97,-23.82,14.78,44.27
"241","PNE-BGL-06","bgl_06",0,0.06088821657504,0.206025652261161,0.465,10.29525,-21.6419946344093,0.130942401236645,0.443065918841207
